geometry,@id,access,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,building,height,layer,man_made,name,note,old_name,phone,ref:bag,source,source:date,start_date,toilets:wheelchair,website,wheelchair,wikidata,wikimedia_commons,wikipedia,ref,description,heritage,tower:construction,tower:type,addr:country,operator,operator:website,operator:wikidata,telecom,architect,amenity,display,faces,visibility,historic,tourism,office,short_name,source:name,building:part,heritage:operator,ref:rce,building:levels,operator:wikipedia,roof:shape,building:material,min_height,roof:height,roof:material,ref:CGBCode,landuse,material,level,opening_hours,technology,technology_1,technology_2,technology_3,communication:gsm-r,communication:mobile_phone,location,barrier,bicycle,foot,motor_vehicle,communication:television,emergency,manufacturer,siren:model,siren:purpose,siren:type,support,operator:type,contact:facebook,contact:instagram,contact:twitter,mast,nest,name:en,communication:radio,frequency,communication:microwave,lamp_type,playground,communication:emergency_services,sources,highway,lamp_mount,capacity,species,species:en,species:nl,colour
"POLYGON ((4.9023473 52.383802, 4.9023687 52.3838, 4.902481 52.3837896, 4.9024835 52.3838006, 4.9024903 52.3838304, 4.9022918 52.383849, 4.9023122 52.3839307, 4.9023156 52.3839444, 4.9023175 52.3839521, 4.9023067 52.383953, 4.9022839 52.3839549, 4.9021459 52.3839665, 4.9021423 52.3839694, 4.902125 52.3839837, 4.9020878 52.3840133, 4.9020699 52.3840294, 4.9020548 52.3840416, 4.9020258 52.3840285, 4.9018239 52.3839369, 4.9018708 52.3838981, 4.9019148 52.3838616, 4.9019015 52.3838077, 4.9018939 52.3837775, 4.9018904 52.3837632, 4.9018889 52.3837573, 4.901898 52.3837565, 4.9019207 52.3837544, 4.9020599 52.3837415, 4.9021233 52.3837356, 4.9021137 52.383697, 4.902219 52.3836098, 4.9022417 52.383591, 4.9023543 52.3834946, 4.9024107 52.38352, 4.9025417 52.3835789, 4.9025589 52.3835866, 4.90259 52.3836006, 4.9024752 52.3836961, 4.9023891 52.3837674, 4.9023473 52.383802))",way/44824385,yes,Amsterdam,5,1031KS,Overhoeksplein,Overhoekstoren,industrial,79,1,tower,A'DAM Toren,with mast up to 100 m.,Shell-toren,+31 20 217 0599,363100012071204,BAG,2014-05-07,1930,yes,https://adamtoren.nl/,yes,Q2529795,Category:Shell Tower,nl:A'DAM Toren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9433127 52.3004122, 4.943302 52.3004086, 4.942375 52.3000928, 4.9423491 52.3000835, 4.9423335 52.3000754, 4.9423206 52.3000657, 4.9423117 52.3000562, 4.9423062 52.3000474, 4.9423025 52.3000383, 4.9423008 52.3000259, 4.942302 52.3000165, 4.9423059 52.3000058, 4.9423148 52.2999928, 4.9423246 52.2999837, 4.9423384 52.2999745, 4.9423526 52.2999678, 4.942373 52.2999613, 4.9423951 52.2999575, 4.942423 52.2999566, 4.9424505 52.2999599, 4.9424802 52.299969, 4.942516 52.2999815, 4.9425394 52.299956, 4.9421342 52.2998171, 4.9424184 52.2995055, 4.942836 52.2996487, 4.9428629 52.2996192, 4.9428649 52.2996176, 4.9428742 52.2996139, 4.942884 52.2996135, 4.9428932 52.2996158, 4.9428985 52.2996192, 4.9429019 52.2996249, 4.9429017 52.2996283, 4.9428993 52.2996328, 4.942884 52.299649, 4.942897 52.2996536, 4.9429379 52.2996099, 4.9429387 52.2996093, 4.9429394 52.299609, 4.9429407 52.2996087, 4.942942 52.2996087, 4.9429433 52.299609, 4.9436877 52.2998649, 4.9436884 52.2998645, 4.9436902 52.299865, 4.9436902 52.2998657, 4.9436896 52.2998662, 4.9436491 52.2999096, 4.9436479 52.2999101, 4.9436463 52.2999104, 4.9436446 52.2999105, 4.9436424 52.2999099, 4.9436409 52.2999093, 4.9436329 52.2999181, 4.9437275 52.2999504, 4.943728 52.2999514, 4.9437284 52.2999529, 4.9437284 52.2999539, 4.943728 52.2999555, 4.9435705 52.3001298, 4.943569 52.3001307, 4.943567 52.3001312, 4.9435648 52.3001312, 4.9435629 52.3001309, 4.9435356 52.300122, 4.9434941 52.300171, 4.9435201 52.3001793, 4.9435213 52.3001799, 4.9435221 52.3001807, 4.9435225 52.3001816, 4.9435224 52.3001822, 4.9435216 52.3001836, 4.9433127 52.3004122))",way/57852902,,,,,,,data_center,,,,,,,,0363100012131452,BAG,2021-08-08,1984,,,,,,,AM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9393878 52.3040873, 4.939133 52.3039997, 4.9390896 52.3040466, 4.9388266 52.3039563, 4.9391742 52.3035761, 4.9392894 52.3036157, 4.9393223 52.303627, 4.9394289 52.3036636, 4.9394717 52.3036165, 4.939735 52.3037072, 4.9397299 52.3037128, 4.939732 52.3037135, 4.9396518 52.3038018, 4.9393878 52.3040873))",way/57853387,,,,,,,data_center,,,,,,,,363100012117661,BAG,2014-05-07,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.943302 52.3004086, 4.9432794 52.300433, 4.9432899 52.3004367, 4.9428422 52.3009204, 4.9426563 52.3008554, 4.9426469 52.3008656, 4.9426518 52.3008676, 4.9424988 52.3010336, 4.9419838 52.3008564, 4.9420938 52.3007371, 4.94201 52.3007082, 4.9419561 52.300767, 4.9416129 52.300649, 4.9420347 52.3001882, 4.9421366 52.3002233, 4.9421885 52.3001666, 4.9422789 52.3001977, 4.942375 52.3000928, 4.943302 52.3004086))",way/57853463,,,,,,,data_center,,,,,,,,0363100012154411,BAG,2014-05-07,1983,,,,,,,AM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8908344 52.3418142, 4.8908312 52.3418257, 4.8908211 52.3418358, 4.8908041 52.3418433, 4.8907887 52.3418457, 4.8907661 52.341844, 4.8907496 52.3418377, 4.8907373 52.3418273, 4.8907331 52.341816, 4.8907354 52.3418054, 4.8907457 52.3417942, 4.890761 52.3417869, 4.8907815 52.3417836, 4.8908006 52.3417854, 4.8908173 52.3417914, 4.8908298 52.3418018, 4.8908344 52.3418142))",way/57863344,,,,,,Het Signaal,,47,,tower,Signaal,,,,,3dShapes,,,,,,Q119996895,Category:Het Signaal RAI,nl:Het signaal,,advertising column with time and temperature display.,2,freestanding,clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8513081 52.3964547, 4.8513066 52.3964547, 4.8513063 52.3964597, 4.8512982 52.3964595, 4.8512982 52.3964604, 4.851192 52.3964587, 4.8511926 52.3964452, 4.8511624 52.3964446, 4.8511616 52.3964472, 4.8511599 52.3964495, 4.8511588 52.3964506, 4.851156 52.3964524, 4.8511508 52.3964545, 4.8511469 52.3964552, 4.8511428 52.3964555, 4.8511387 52.3964552, 4.8511348 52.3964543, 4.8511329 52.3964537, 4.8511297 52.396452, 4.8511283 52.3964511, 4.8511261 52.3964489, 4.8511248 52.3964465, 4.8511243 52.3964439, 4.8510941 52.3964434, 4.8510934 52.3964569, 4.8509873 52.3964552, 4.8509873 52.3964543, 4.850979 52.3964541, 4.8509793 52.3964492, 4.8509778 52.3964492, 4.8509782 52.3964398, 4.8508972 52.3964384, 4.8508994 52.3963889, 4.8508837 52.3963887, 4.8508837 52.3963878, 4.8508759 52.3963877, 4.8508761 52.3963827, 4.8508746 52.3963827, 4.8508785 52.3962984, 4.8509009 52.3962988, 4.8509019 52.3962769, 4.8508796 52.3962765, 4.8508834 52.3961922, 4.8508849 52.3961922, 4.8508851 52.3961873, 4.8508934 52.3961875, 4.8508934 52.3961866, 4.8513104 52.3961934, 4.8513104 52.3961943, 4.8513186 52.3961945, 4.8513183 52.3961994, 4.8513198 52.3961994, 4.8513155 52.3962928, 4.8513081 52.3964547))",way/57864798,,,,,,,data_center,,,,,,,,0363100012126893,BAG,2014-02-11,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8384568 52.3965662, 4.838471 52.3965617, 4.8387281 52.3964795, 4.8387545 52.396471, 4.8387682 52.396487, 4.8387833 52.3965047, 4.838904 52.3966459, 4.838919 52.3966411, 4.838921 52.3966387, 4.8389223 52.3966377, 4.8389271 52.396635, 4.8389329 52.3966332, 4.8389372 52.3966327, 4.8389437 52.3966329, 4.8389498 52.3966342, 4.8389551 52.3966366, 4.8389578 52.3966386, 4.8389598 52.396641, 4.8389616 52.3966449, 4.8389616 52.396649, 4.8389595 52.3966529, 4.838957 52.3966552, 4.8389521 52.396658, 4.838946 52.3966597, 4.8389393 52.3966602, 4.8389327 52.3966595, 4.8389192 52.3966638, 4.8389473 52.3966967, 4.8389595 52.396711, 4.8385899 52.3968298, 4.8385687 52.3968366, 4.8385615 52.3968282, 4.8385104 52.3967686, 4.838541 52.3967588, 4.8385298 52.3967458, 4.8385219 52.3967466, 4.838515 52.3967457, 4.8385085 52.396743, 4.8385045 52.3967392, 4.8385031 52.3967354, 4.8385037 52.3967314, 4.8385063 52.3967281, 4.838511 52.396725, 4.8384093 52.3966056, 4.8384731 52.3965853, 4.8384607 52.3965708, 4.8384568 52.3965662))",way/57865369,,Amsterdam,2E,1042AB,Gyroscoopweg,,data_center,,,,,,,,363100012079749,BAG,2014-02-11,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8388254 52.3970898, 4.8388185 52.3970906, 4.8388115 52.3970899, 4.8388054 52.3970877, 4.838801 52.3970843, 4.8387989 52.3970801, 4.8387994 52.3970758, 4.8388023 52.3970719, 4.8388075 52.3970688, 4.838796 52.3970555, 4.8387745 52.3970624, 4.8387659 52.3970651, 4.8387166 52.3970078, 4.838708 52.3969977, 4.8387381 52.396988, 4.838785 52.396973, 4.8390725 52.3968805, 4.8390984 52.3968722, 4.8391073 52.3968821, 4.8391401 52.3969189, 4.8391545 52.3969141, 4.839158 52.3969105, 4.8391632 52.3969078, 4.8391673 52.3969066, 4.8391717 52.3969059, 4.8391785 52.396906, 4.8391849 52.3969073, 4.8391887 52.3969088, 4.8391904 52.3969098, 4.8391933 52.3969119, 4.8391944 52.3969131, 4.8391954 52.3969144, 4.8391966 52.3969171, 4.8391968 52.3969198, 4.8391962 52.3969226, 4.8391946 52.3969252, 4.8391935 52.3969264, 4.8391922 52.3969276, 4.839189 52.3969296, 4.8391853 52.3969311, 4.8391789 52.3969325, 4.8391743 52.3969327, 4.8391676 52.396932, 4.8391541 52.3969364, 4.8392758 52.3970773, 4.8392973 52.3971023, 4.8393048 52.3971109, 4.83929 52.3971157, 4.8390154 52.3972045, 4.8390076 52.397207, 4.8390034 52.3972021, 4.838992 52.3971888, 4.838928 52.3972092, 4.8388254 52.3970898))",way/57866665,,Amsterdam,2F,1042AB,Gyroscoopweg,,data_center,,,,,,,,363100012094936,BAG,2014-02-11,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9526157 52.3562731, 4.95246 52.3561806, 4.9526813 52.3560426, 4.9526838 52.3560411, 4.9527461 52.3560783, 4.952763 52.3560884, 4.9527834 52.3561006, 4.9528327 52.3561301, 4.9530613 52.3559877, 4.9531228 52.3559485, 4.9532773 52.3560409, 4.9531314 52.3561319, 4.9535025 52.3563539, 4.953352 52.3564477, 4.9532457 52.3563841, 4.95313 52.3563149, 4.9529121 52.3564508, 4.9526382 52.3562869, 4.9526157 52.3562731))",way/62036545,,Amsterdam,121,1098XG,Science Park,,commercial,,,,Digital Realty AMS9,,,,,BGT,,,,https://www.digitalrealty.com/data-centers/emea/amsterdam/ams9,,,,,AMS9,,,,,NL,Digital Realty,https://www.interxion.com/Locations/science-park/,Q5275969,data_center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8554075 52.3437869, 4.8553849 52.3437838, 4.8553958 52.343754, 4.8553797 52.3437518, 4.8553819 52.3437457, 4.8554618 52.3437566, 4.8554596 52.3437627, 4.8554507 52.3437614, 4.8554456 52.3437755, 4.8554449 52.3437774, 4.8554443 52.3437791, 4.8554398 52.3437913, 4.8554132 52.3437877, 4.8554075 52.3437869))",way/98662844,private,,,,,,yes,46,,tower,Marathontoren,,,,0363100012250984,BAG,2021-01-08,1928,,,,Q17299254,Category:Marathontoren,,,thin freestanding tower,,freestanding,,,,,,,Jan Wils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
