geometry,@id,description,landuse,man_made,name,operator,operator:wikipedia,website,building,ref:bag,source,source:date,start_date,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,heritage,note,substance,wikidata,wikimedia_commons,wikipedia,architect,heritage:operator,ref,historic,pumping_station,full_name,height,alt_name,access,layer,ref:rce,location,operator:wikidata,basin,building:levels:underground,capacity,product,natural,water,area,phone,entrance,drinking_water,pump,pump:status,pipeline,substation,handle,mechanical_driver,pump_mechanism
"POLYGON ((5.0042943 52.3058238, 5.0005177 52.3044121, 5.0003031 52.3042861, 5.0003197 52.3041949, 5.0003289 52.3041444, 5.001606 52.3018925, 5.0021996 52.3018832, 5.0047408 52.3018431, 5.0075231 52.3017993, 5.007539 52.3018849, 5.0089978 52.3018613, 5.0092467 52.3018876, 5.0093332 52.3023232, 5.0094099 52.3027402, 5.0094779 52.3032303, 5.009483 52.3034355, 5.0093325 52.3050629, 5.009314 52.3051422, 5.0095719 52.3053078, 5.0098011 52.3054426, 5.009899 52.3054984, 5.0096501 52.3057241, 5.0096027 52.3057905, 5.0095128 52.3059026, 5.0082064 52.3057343, 5.0072623 52.3056031, 5.0072125 52.3056979, 5.007 52.3061306, 5.0067748 52.3065323, 5.0047577 52.3058711, 5.0042943 52.3058238))",way/28147781,Produktie van drinkwater grotendeels uit kwelwater uit de Bethunepolder bij Maarssen. Bij onvoldoende Bethunewater kan water uit het Amsterdam-Rijnkanaal worden ingezet.,industrial,water_works,Waternet locatie Weesperkarspel,Waternet,nl:Waternet (bedrijf),https://www.waternet.nl/innovatie/schoon-water/drinkwater-van-bron-tot-tap/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9163487 52.3384014, 4.9163462 52.3384062, 4.9163446 52.3384085, 4.9163408 52.338413, 4.9163386 52.3384151, 4.9163309 52.338421, 4.9163248 52.3384244, 4.9163182 52.3384273, 4.9163074 52.3384309, 4.9162997 52.3384326, 4.9162917 52.3384338, 4.9162836 52.3384344, 4.9162753 52.3384344, 4.9162672 52.3384338, 4.9162553 52.3384319, 4.9162477 52.33843, 4.9162406 52.3384276, 4.9162308 52.338423, 4.9162278 52.3384213, 4.9162224 52.3384175, 4.9162178 52.3384133, 4.9162139 52.3384089, 4.9162123 52.3384066, 4.9162097 52.3384018, 4.9162088 52.3383994, 4.9162076 52.3383944, 4.9162073 52.3383919, 4.9162075 52.3383869, 4.9162086 52.3383819, 4.9162107 52.338377, 4.9162136 52.3383723, 4.9162154 52.3383701, 4.916222 52.3383637, 4.9162274 52.3383599, 4.9162334 52.3383565, 4.91624 52.3383535, 4.9162471 52.338351, 4.9162547 52.3383491, 4.9162625 52.3383476, 4.9162706 52.3383467, 4.9162788 52.3383464, 4.916291 52.338347, 4.9162951 52.3383475, 4.9163068 52.3383498, 4.9163141 52.338352, 4.9163211 52.3383547, 4.9163304 52.3383596, 4.9163358 52.3383634, 4.9163405 52.3383675, 4.9163443 52.338372, 4.9163473 52.3383766, 4.9163495 52.3383815, 4.9163502 52.338384, 4.9163509 52.338389, 4.9163507 52.338394, 4.9163503 52.3383965, 4.9163487 52.3384014))",way/44898212,,,water_tower,,,,,yes,0363100012189540,BAG,2014-03-24,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9054899 52.3357718, 4.9054886 52.3357722, 4.9054894 52.335773, 4.9054508 52.3357859, 4.9054531 52.3357884, 4.9054461 52.3357908, 4.9054439 52.3357882, 4.9054056 52.335801, 4.9054049 52.3358002, 4.9054036 52.3358006, 4.9053833 52.3357778, 4.9053417 52.3357917, 4.9052947 52.335739, 4.9053363 52.3357251, 4.9053159 52.3357022, 4.9053172 52.3357018, 4.9053165 52.335701, 4.9054003 52.335673, 4.9054009 52.3356738, 4.9054022 52.3356733, 4.9054473 52.3357239, 4.9054899 52.3357718))",way/45120744,,,pumping_station,Gemaal Stadwijck,AGV/Waternet,,https://www.agv.nl/recreatie/watererfgoed/gemalen/gemaal-stadwijck/,yes,363100012161159,BAG,2014-03-24,1957,Amsterdam,NL,272,1079LK,Amsteldijk,8,"poldergemaal, gemeentelijk monument.",water,Q28746533,Category:Gemaal Stadwijck,nl:Gemaal Stadwijck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.7612383 52.3549852, 4.7612332 52.3549875, 4.7611815 52.3549434, 4.7612925 52.3548941, 4.7613445 52.3549382, 4.7612383 52.3549852))",way/57855819,,,pumping_station,Gemaal Lutkemeerweg,,,,yes,363100012095272,BAG,2014-02-11,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.7706239 52.3925083, 4.7706308 52.3925208, 4.770611 52.3925248, 4.7706041 52.3925123, 4.7705326 52.3925271, 4.7705395 52.3925396, 4.7705169 52.3925443, 4.7705076 52.3925274, 4.7704938 52.3925303, 4.7705119 52.3925627, 4.7701402 52.3926397, 4.7701216 52.3926062, 4.7703249 52.392564, 4.7703174 52.3925505, 4.770427 52.3925278, 4.7704086 52.3924946, 4.7703001 52.3925172, 4.7702919 52.3925024, 4.7702606 52.3924929, 4.7702496 52.392473, 4.7702652 52.3924536, 4.7702336 52.3924441, 4.7702225 52.3924241, 4.7702382 52.3924048, 4.7702688 52.3923984, 4.7703004 52.392408, 4.7703115 52.3924279, 4.7702959 52.3924473, 4.7703295 52.3924574, 4.7703861 52.3924457, 4.7703897 52.3924522, 4.770458 52.392438, 4.7704519 52.3924269, 4.7707543 52.3923641, 4.7707595 52.3923736, 4.7708381 52.3923573, 4.7708885 52.3924489, 4.7708615 52.3924548, 4.7708099 52.3924654, 4.770819 52.392482, 4.7707965 52.3924867, 4.7707895 52.3924741, 4.7707158 52.3924894, 4.7707227 52.3925019, 4.7707029 52.392506, 4.7706959 52.3924934, 4.7706239 52.3925083))",way/57859745,pumping-station for water-discharge,,pumping_station,Boezemgemaal Halfweg,Hoogheemraadschap van Rijnland,,,industrial,363100012105787,BAG,2014-02-11,1977,,,,,,,,wastewater,Q17334900,Category:Boezemgemaal Halfweg,nl:Boezemgemaal Halfweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9531247 52.366986, 4.9531203 52.3671246, 4.9530778 52.3671242, 4.9530776 52.3671309, 4.9530772 52.3671325, 4.953075 52.3671345, 4.9530728 52.3671354, 4.9530702 52.3671357, 4.9530676 52.3671356, 4.9530653 52.3671349, 4.9530634 52.3671338, 4.9530621 52.3671324, 4.9530618 52.3671316, 4.953062 52.3671241, 4.9528981 52.3671226, 4.9528979 52.3671294, 4.952865 52.367129, 4.9528652 52.3671223, 4.9528601 52.3671222, 4.95286 52.3671261, 4.9527536 52.3671252, 4.9527538 52.3671181, 4.952754 52.3671122, 4.9527555 52.367056, 4.9527565 52.3670226, 4.9527579 52.3669725, 4.9527588 52.3669391, 4.9527602 52.3668887, 4.9527611 52.3668553, 4.9527625 52.3668057, 4.952763 52.3667852, 4.9527631 52.3667835, 4.9528777 52.3667847, 4.9528776 52.3667888, 4.9529872 52.3667899, 4.9529999 52.36679, 4.9531288 52.3667913, 4.9531288 52.3667933, 4.9531247 52.366986))",way/57860243,,,pumping_station,Gemaal Zeeburg,Waternet,,,service,0363100012076661,BAG,2014-03-24,1949,,,,,,8,,water,,,,"C. van der Wilk & J. Leupen, Dienst Publieke Werken",Gemeente Amsterdam,200648,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.7397021 52.4296583, 4.7397049 52.4296662, 4.7394133 52.4297041, 4.739411 52.4296972, 4.7393904 52.4296381, 4.7393888 52.4296333, 4.7396803 52.4295955, 4.7396833 52.4296039, 4.7397021 52.4296583))",way/57860394,,,pumping_station,Houtrak-gemaal,,,,yes,363100012208394,BAG,2014-02-11,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8583068 52.3526889, 4.8583072 52.3526894, 4.8581978 52.3527176, 4.8581633 52.3526675, 4.8582726 52.3526393, 4.8583068 52.3526889))",way/57860930,,,pumping_station,,,,,service,363100012081664,BAG,2014-03-24,1972,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8683506 52.3844968, 4.86835 52.3845024, 4.8683486 52.3845077, 4.8683451 52.3845155, 4.8683418 52.3845206, 4.8683373 52.3845261, 4.868332 52.3845311, 4.8683261 52.3845358, 4.8683194 52.3845401, 4.868312 52.384544, 4.8683041 52.3845475, 4.8682957 52.3845505, 4.8682868 52.384553, 4.8682729 52.3845557, 4.8682634 52.3845568, 4.8682537 52.3845574, 4.8682439 52.3845574, 4.8682342 52.3845568, 4.8682247 52.3845557, 4.8682153 52.384554, 4.8682063 52.3845517, 4.8681977 52.384549, 4.8681895 52.3845458, 4.8681819 52.3845421, 4.8681749 52.3845379, 4.8681685 52.3845334, 4.8681629 52.3845285, 4.8681581 52.3845233, 4.8681541 52.3845179, 4.868151 52.3845123, 4.8681488 52.3845065, 4.8681475 52.3845006, 4.8681471 52.3844946, 4.8681476 52.3844887, 4.8681491 52.3844828, 4.8681515 52.384477, 4.8681548 52.3844714, 4.8681589 52.384466, 4.8681667 52.3844584, 4.8681728 52.3844538, 4.8681796 52.3844495, 4.8681871 52.3844457, 4.8681951 52.3844423, 4.8682036 52.3844394, 4.8682125 52.384437, 4.8682217 52.3844351, 4.8682312 52.3844338, 4.8682409 52.3844331, 4.8682506 52.3844329, 4.8682604 52.3844333, 4.86827 52.3844342, 4.8682794 52.3844357, 4.8682885 52.3844378, 4.8682973 52.3844404, 4.8683056 52.3844435, 4.8683134 52.384447, 4.8683207 52.384451, 4.8683272 52.3844554, 4.8683331 52.3844602, 4.8683382 52.3844653, 4.8683424 52.3844706, 4.8683458 52.3844762, 4.8683484 52.3844819, 4.86835 52.3844878, 4.8683506 52.3844968))",way/57865281,,,water_tower,,,,,yes,363100012111986,BAG,2014-03-24,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.864535 52.3858012, 4.8644288 52.3857996, 4.864432 52.385722, 4.8645381 52.3857235, 4.864535 52.3858012))",way/57867355,,,pumping_station,Polder gemaal Haarlemmerweg,"Waterschap Amstel, Gooi en Vecht",,,house,0363100012163230,BAG,2021-01-08,2002,,,,,,2,,,,,,,rce,,yes,water,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.7787982 52.3991607, 4.7788805 52.3980069, 4.7788024 52.3979324, 4.7793221 52.3979337, 4.77949 52.3979341, 4.7802725 52.397936, 4.7803423 52.3979361, 4.7804905 52.3979374, 4.7822011 52.3979517, 4.7825025 52.3979515, 4.7834916 52.3979509, 4.7880654 52.3979549, 4.7921383 52.3979484, 4.7939902 52.3979454, 4.7940151 52.3991496, 4.7787982 52.3991607))",way/137928079,,,wastewater_plant,RWZI Amsterdam West,Waternet,,https://www.waternet.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8542666 52.4070828, 4.8542097 52.407108, 4.8541392 52.4070496, 4.8541962 52.4070244, 4.8542666 52.4070828))",way/269056219,,,pumping_station,,,,,yes,363100012213438,BAG,2014-02-11,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.7890243 52.3763262, 4.7890204 52.3763286, 4.7889805 52.3763043, 4.7889496 52.3762854, 4.7890377 52.3762313, 4.7891085 52.3762745, 4.7890243 52.3763262))",way/274389734,,,pumping_station,Gemaal Nico Broekhuysen,,,,yes,363100012185104,BAG,2014-03-24,1991,,,,,,,,,Q55076480,Category:Poldergemaal Nico Broekhuysen,nl:Poldergemaal Nico Broekhuysen,,,,,,Poldergemaal Nico Broekhusenweg,,,,,,,,,,,,,,,,,,,,,,,,
