geometry,Adres,Plaats,Gebruiksdoel,Objectsoort,FUNCTIE,FUNCTIE_ID,Oppervlakte,HEX,Buurtcode,Verblijfsobject
POINT (52.40669 4.7326289),Kaapstadweg 50A,Amsterdam,industriefunctie,Laad-/loskuil (docking station)|Opslag/magazijn|Technische installatieruimte,Bedrijven,B,19602,25,BA01,0363010012131441
POINT (52.408358 4.733279),Kaapstadweg 50B,Amsterdam,industriefunctie,Laad-/loskuil (docking station)|Opslag/magazijn|Technische installatieruimte,Bedrijven,B,22370,25,BA01,0363010012131442
POINT (52.409916 4.733673),Kaapstadweg 50C,Amsterdam,industriefunctie,Laad-/loskuil (docking station)|Opslag/magazijn|Technische installatieruimte,Bedrijven,B,26733,27,BA01,0363010012131443
POINT (52.405242 4.73384),Kaapstadweg 38F,Amsterdam,industriefunctie,Kantoor|Opslag/magazijn,Bedrijven,B,4995,13,BA01,0363010012154294
POINT (52.405181 4.734367),Kaapstadweg 38E,Amsterdam,industriefunctie,Opslag/magazijn,Bedrijven,B,5446,18,BA01,0363010012154293
POINT (52.410794 4.734397),Kaapstadweg 50D,Amsterdam,kantoorfunctie,Entree/garderobe|Kantine|Kantoor|Personeelsvoorziening|Technische installatieruimte,Kantoren,K,1545,9,BA01,0363010012131444
POINT (52.405102 4.735038),Kaapstadweg 38D,Amsterdam,industriefunctie,Opslag/magazijn,Bedrijven,B,5465,18,BA01,0363010012154292
POINT (52.4087559 4.735303),Kaapstadweg 25,Amsterdam,industriefunctie|kantoorfunctie,Kantine|Kantoor|Opslag/magazijn|Technische installatieruimte,Kantoren,K,14760,23,BA01,0363010012124843
POINT (52.407355 4.7355831),Durbanweg 27,Amsterdam,industriefunctie,,Bedrijven,B,10154,21,BA01,0363010012066373
POINT (52.40501 4.7357309),Kaapstadweg 38C,Amsterdam,industriefunctie,Opslag/magazijn,Bedrijven,B,4509,12,BA01,0363010012154288
POINT (52.404942 4.7363031),Kaapstadweg 38B,Amsterdam,industriefunctie,Opslag/magazijn,Bedrijven,B,4448,12,BA01,0363010012154287
POINT (52.40489 4.736739),Kaapstadweg 38A,Amsterdam,industriefunctie,Kantoor|Opslag/magazijn,Bedrijven,B,4475,12,BA01,0363010012154286
POINT (52.407135 4.737284),Durbanweg 29,Amsterdam,industriefunctie,,Bedrijven,B,10146,21,BA01,0363010012066374
POINT (52.406122 4.737799),Durbanweg 31,Amsterdam,overige gebruiksfunctie,Kantine|Kantoor|Opslag/magazijn,Kantoren,K,8060,20,BA01,0363010012066371
POINT (52.404852 4.7379459),Kaapstadweg 36D,Amsterdam,industriefunctie,Kantoor|Laad-/loskuil (docking station)|Opslag/magazijn,Bedrijven,B,6423,19,BA01,0363010012129685
POINT (52.404802 4.738568),Kaapstadweg 36C,Amsterdam,industriefunctie,Kantoor|Laad-/loskuil (docking station)|Opslag/magazijn,Bedrijven,B,4965,13,BA01,0363010012129684
POINT (52.406684 4.7386479),Durbanweg 33,Amsterdam,industriefunctie,,Bedrijven,B,7159,19,BA01,0363010012066372
POINT (52.420181 4.7385389),Westpoortweg 504,Amsterdam,industriefunctie,,Bedrijven,B,1087,9,BA01,0363010012086386
POINT (52.40466 4.739466),Kaapstadweg 36B,Amsterdam,industriefunctie,Laad-/loskuil (docking station)|Opslag/magazijn,Bedrijven,B,4965,13,BA01,0363010012129683
POINT (52.4297 4.739216),Noordzeekanaalweg 2,Amsterdam,overige gebruiksfunctie,Werkruimte,Bedrijven,B,92,5,BA01,0363010012105583
POINT (52.419244 4.7394821),Westpoortweg 502,Amsterdam,kantoorfunctie,Kantoor|Opslag/magazijn,Kantoren,K,1035,9,BA01,0363010012086179
POINT (52.404592 4.739928),Kaapstadweg 36A,Amsterdam,industriefunctie,Kantoor|Laad-/loskuil (docking station)|Opslag/magazijn,Bedrijven,B,6313,19,BA01,0363010012129682
POINT (52.406517 4.740134),Durbanweg 35,Amsterdam,industriefunctie,,Bedrijven,B,7163,19,BA01,0363010012066370
POINT (52.404496 4.7407519),Kaapstadweg 34D,Amsterdam,industriefunctie,Kantoor|Laad-/loskuil (docking station)|Opslag/magazijn|Parkeerplaats,Bedrijven,B,5911,18,BA01,0363010012117421
POINT (52.4152151 4.740734),Westpoortweg 480,Amsterdam,kantoorfunctie,Kantoor|Opstal|Overige ruimten,Kantoren,K,1090,9,BA01,0363010011073791
POINT (52.4056129 4.741488),Kaapstadweg 35,Amsterdam,industriefunctie|kantoorfunctie,Opslag/magazijn,Bedrijven,B,4156,12,BA01,0363010012098297
POINT (52.404358 4.7417679),Kaapstadweg 34C,Amsterdam,industriefunctie,Kantoor|Laad-/loskuil (docking station)|Opslag/magazijn,Bedrijven,B,4969,13,BA01,0363010012117423
POINT (52.4042979 4.742152),Kaapstadweg 34B,Amsterdam,industriefunctie,Kantoor|Laad-/loskuil (docking station)|Opslag/magazijn,Bedrijven,B,4969,13,BA01,0363010012117422
POINT (52.40538 4.742847),Kaapstadweg 37,Amsterdam,industriefunctie|kantoorfunctie,Kantoor|Laad-/loskuil (docking station)|Opslag/magazijn,Bedrijven,B,15109,23,BA01,0363010012094860
POINT (52.4041751 4.742913),Kaapstadweg 34A,Amsterdam,industriefunctie,Kantoor|Laad-/loskuil (docking station)|Opslag/magazijn,Bedrijven,B,5911,18,BA01,0363010012117420
POINT (52.399831 4.746348),Bauduinlaan 35,Amsterdam,sportfunctie,Cafe/bar|Kantoor|Opslag/magazijn|Winkel/verkoopruimte|Woning,Sport,S,1573,9,BA01,0363010001022572
POINT (52.402622 4.748894),Beiraweg 15,Amsterdam,kantoorfunctie,Kantoor|Restaurant|Technische installatieruimte,Kantoren,K,6900,19,BA01,0363010003688227
POINT (52.410235 4.748932),Ruigoord 78,Amsterdam,bijeenkomstfunctie,Opstal,Maatschappelijke bijeenkomst,Y,324,6,BA01,0363010001025185
POINT (52.410317 4.7491221),Ruigoord 76,Amsterdam,industriefunctie,Werkruimte,Bedrijven,B,125,5,BA01,0363010001025184
POINT (52.407064 4.7492709),Beiraweg 3,Amsterdam,bijeenkomstfunctie|kantoorfunctie|overige gebruiksfunctie,Entree/garderobe|Kantoor|Opslag/magazijn|Sanitaire ruimte|Werkplaats,Bedrijven,B,2335,10,BA01,0363010001167246
POINT (52.409698 4.7493071),Ruigoord 22,Amsterdam,industriefunctie,Atelier,Bedrijven,B,100,5,BA01,0363010001025172
POINT (52.411163 4.749301),Ruigoord 66,Amsterdam,industriefunctie,Atelier,Bedrijven,B,120,5,BA01,0363010001025183
POINT (52.409752 4.749336),Ruigoord 24,Amsterdam,industriefunctie,Atelier,Bedrijven,B,100,5,BA01,0363010001025173
POINT (52.400808 4.749485),Conakryweg 10,Amsterdam,bijeenkomstfunctie|industriefunctie|kantoorfunctie,Kantine|Kantoor|Opslag/magazijn|Personeelsvoorziening|Technische installatieruimte,Bedrijven,B,6240,18,BA01,0363010012145068
